,Aldrin,Aspirin,Endosulfan,Endrin,Kepone,op-DDT,1Ethyl3methylimidazolium diethylphosphate,Auramine O,Carbamic acid,D Glucitol,Estradiol,Hexachlorophene,Chlordane,Methoxychlor,Mirex,pp-DDD,pp-DDE,pp-DDT,17beta Estradiol,Abamectin,Bisphenol B,Clove leaf oil,Diphenhydramine hydrochloride,MGK 264,Atrazine,Boric acid,Disulfiram,Rotenone,Tetracycline,Triclosan,1 Methyl 4 phenylpyridinium iodide,Berberine chloride,Estradiol,Hexachlorophene,Rotenone,Tetraethylthiuram disulfide,3 Iodo 2 propynyl N butylcarbamate,Boscalid,Fluoxastrobin,Glycerol,Mancozeb,Picoxystrobin,L Ascorbic acid,Manganese tricarbonyl 12345 eta 1 methyl 24 cyclopentadien 1 yl,Parathion,Permethrin,Rotenone,Tetraethylthiuram disulfide,Acenaphthene,Benz a anthracene,Erythromycin,Fenamiphos,Parathion,Reserpine,L Ascorbic acid,Manganese tricarbonyl 12345 eta 1 methyl 24 cyclopentadien 1 yl,Parathion,Permethrin,Rotenone,Tetraethylthiuram disulfide,6 Propyl 2 thiouracil,Bisphenol AF,Cloprop,Eugenol,Piperonyl butoxide,Tamoxifen
[Inhibitor] vs. normalized response,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Best-fit values,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     IC50,3.821,2.150e+037,5.767,128.8,3.997,2.064,1.175e+040,2.184,1.153,268.2,24.34,0.5945,4.355,5.564,2.616,3.340,3.319,3.207,3994,0.1544,46.16,1.332e+037,24.41,1.155e+053,123.4,962.3,0.07422,0.02940,5.528e+044,9.780,3.836,1.328,62.49,1.581,1.502,1.127,2.627,51.90,0.6256,253.7,130.8,0.09856,129.0,22.30,105.7,4.507,0.0009590,0.04068,4.201e+053,133.9,120.8,17.56,42.96,1.732,129.0,22.30,105.7,4.507,0.0009590,0.04068,211.0,137.9,462.4,576.0,52.27,4.569
     logIC50,0.5822,37.33,0.7610,2.110,0.6017,0.3148,40.07,0.3393,0.06189,2.428,1.386,-0.2259,0.6390,0.7454,0.4176,0.5237,0.5210,0.5061,3.601,-0.8114,1.664,37.12,1.387,53.06,2.091,2.983,-1.129,-1.532,44.74,0.9903,0.5839,0.1233,1.796,0.1991,0.1767,0.05183,0.4195,1.715,-0.2037,2.404,2.117,-1.006,2.111,1.348,2.024,0.6539,-3.018,-1.391,53.62,2.127,2.082,1.245,1.633,0.2386,2.111,1.348,2.024,0.6539,-3.018,-1.391,2.324,2.139,2.665,2.760,1.718,0.6598
95% CI (profile likelihood),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     IC50,2.095 to 6.743,-infinity to +infinity,3.460 to 9.535,52.28 to +infinity,2.367 to 6.632,1.201 to 3.431,-infinity to +infinity,1.000 to 4.912,0.5912 to 2.218,43.21 to +infinity,12.27 to 57.28,0.3247 to 1.057,2.155 to 8.478,3.399 to 9.107,1.400 to 4.900,1.589 to 6.749,2.126 to 5.108,2.061 to 4.924,139.4 to +infinity,0.08710 to 0.2719,28.43 to 87.90,-infinity to +infinity,14.10 to 47.09,-infinity to +infinity,49.26 to +infinity,105.1 to +infinity,0.04733 to 0.1147,0.01770 to 0.04606,-infinity to +infinity,5.275 to 18.92,1.776 to 8.188,0.5603 to 3.047,9.726 to +infinity,0.6301 to 4.070,0.2119 to 23.11,0.3937 to 2.923,1.430 to 4.791,25.06 to 179.3,0.3565 to 1.092,60.45 to +infinity,44.50 to +infinity,0.06934 to 0.1393,31.81 to +infinity,10.37 to 56.39,29.43 to +infinity,2.242 to 8.834,??? to 0.001981,0.02322 to 0.06775,-infinity to +infinity,26.92 to +infinity,30.78 to +infinity,6.438 to 56.70,14.00 to 1570,0.7323 to 3.731,31.81 to +infinity,10.37 to 56.39,29.43 to +infinity,2.242 to 8.834,??? to 0.001981,0.02322 to 0.06775,100.0 to 4261,53.23 to +infinity,144.9 to +infinity,155.4 to +infinity,37.99 to 76.92,2.795 to 7.366
     logIC50,0.3211 to 0.8288,,0.5391 to 0.9793,1.718 to ???,0.3742 to 0.8217,0.07951 to 0.5354,,0.0001693 to 0.6913,-0.2283 to 0.3459,1.636 to ???,1.089 to 1.758,-0.4885 to 0.02421,0.3334 to 0.9283,0.5313 to 0.9594,0.1460 to 0.6902,0.2011 to 0.8292,0.3275 to 0.7082,0.3140 to 0.6923,2.144 to ???,-1.060 to -0.5657,1.454 to 1.944,,1.149 to 1.673,,1.692 to ???,2.022 to ???,-1.325 to -0.9405,-1.752 to -1.337,,0.7222 to 1.277,0.2494 to 0.9132,-0.2516 to 0.4839,0.9879 to ???,-0.2006 to 0.6096,-0.6740 to 1.364,-0.4048 to 0.4658,0.1553 to 0.6805,1.399 to 2.254,-0.4480 to 0.03833,1.781 to ???,1.648 to ???,-1.159 to -0.8560,1.503 to ???,1.016 to 1.751,1.469 to ???,0.3506 to 0.9461,??? to -2.703,-1.634 to -1.169,,1.430 to ???,1.488 to ???,0.8087 to 1.754,1.146 to 3.196,-0.1353 to 0.5718,1.503 to ???,1.016 to 1.751,1.469 to ???,0.3506 to 0.9462,??? to -2.703,-1.634 to -1.169,2.000 to 3.630,1.726 to ???,2.161 to ???,2.192 to ???,1.580 to 1.886,0.4464 to 0.8672
Goodness of Fit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     Degrees of Freedom,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
     R squared,0.7160,-0.4227,0.7379,0.07881,0.7673,0.8238,-0.04846,0.6948,0.7649,-0.1440,0.4185,0.8080,0.6262,0.7819,0.7292,0.6145,0.8528,0.8449,-0.02136,0.8255,0.3413,-0.03346,0.5310,-0.001071,-0.1911,-0.1353,0.8723,0.8691,-0.5753,0.6560,0.6686,0.6814,-0.03634,0.6484,0.2681,0.5953,0.7652,0.01039,0.8319,-0.1215,-0.08397,0.9209,-0.02799,0.2245,0.04826,0.6772,0.9934,0.8248,-0.08193,-0.1125,-0.7516,-0.5266,-0.6653,0.6323,-0.02799,0.2245,0.04826,0.6772,0.9934,0.8248,-0.1321,0.09396,-0.07161,0.01966,0.5461,0.7978
     Sum of Squares,10163,6158,8199,5059,8559,6020,14543,24087,13775,13109,10098,7434,14755,8034,14649,15310,5737,5732,3200,5537,3329,4486,7439,5909,5067,4134,5266,4604,10060,15265,19241,22028,78916,30513,235392,25897,12043,6886,8932,6612,6900,3094,14542,10241,14823,13733,173.3,7252,7254,18951,14180,17169,19252,12642,14542,10241,14823,13734,173.3,7252,1401,5209,1332,1367,1188,6938
     Sy.x,21.02,16.36,18.88,14.83,19.29,16.18,25.15,32.36,24.47,23.87,20.95,17.98,25.33,18.69,25.24,25.80,15.79,15.79,11.80,15.52,12.03,13.97,17.98,16.03,14.84,13.41,15.13,14.15,20.91,25.76,28.92,30.95,58.58,36.42,101.2,33.56,22.88,17.30,19.71,16.96,17.32,11.60,25.15,21.10,25.39,24.44,2.745,17.76,17.76,28.70,24.83,27.32,28.93,23.45,25.15,21.10,25.39,24.44,2.745,17.76,7.804,15.05,7.610,7.710,7.188,17.37
Constraints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     IC50,IC50 > 0,IC50 > 0,IC50 > 0,IC50 > 0,IC50 > 0,IC50 > 0,IC50 > 0,IC50 > 0,IC50 > 0,IC50 > 0,IC50 > 0,IC50 > 0,IC50 > 0,IC50 > 0,IC50 > 0,IC50 > 0,IC50 > 0,IC50 > 0,IC50 > 0,IC50 > 0,IC50 > 0,IC50 > 0,IC50 > 0,IC50 > 0,IC50 > 0,IC50 > 0,IC50 > 0,IC50 > 0,IC50 > 0,IC50 > 0,IC50 > 0,IC50 > 0,IC50 > 0,IC50 > 0,IC50 > 0,IC50 > 0,IC50 > 0,IC50 > 0,IC50 > 0,IC50 > 0,IC50 > 0,IC50 > 0,IC50 > 0,IC50 > 0,IC50 > 0,IC50 > 0,IC50 > 0,IC50 > 0,IC50 > 0,IC50 > 0,IC50 > 0,IC50 > 0,IC50 > 0,IC50 > 0,IC50 > 0,IC50 > 0,IC50 > 0,IC50 > 0,IC50 > 0,IC50 > 0,IC50 > 0,IC50 > 0,IC50 > 0,IC50 > 0,IC50 > 0,IC50 > 0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of points,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     # of X values,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
     # Y values analyzed,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24